"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y",
9/17/2015,44.25,44.1163322,0.30207413
9/16/2015,44.3,44.15284277,0.332183372
9/15/2015,43.98,43.59494695,0.875518523
9/14/2015,43.04,43.71915103,1.57795314
9/11/2015,43.48,43.79769544,0.730670281
9/10/2015,43.29,43.38547626,0.220550384
9/9/2015,43.07,43.32108254,0.582963867
9/8/2015,43.89,43.37968323,1.162717635
9/4/2015,42.61,44.02755977,3.326824149
9/3/2015,43.5,43.51743863,0.04008881
9/2/2015,43.36,43.42465287,0.149107173
9/1/2015,41.82,43.13988652,3.156113162
8/31/2015,43.52,42.66881805,1.955840872
8/28/2015,43.93,42.87527487,2.400922227
8/27/2015,43.9,43.38565331,1.171632546
8/26/2015,42.71,43.61913161,2.128615326
8/25/2015,40.47,43.22807224,6.815103136
8/24/2015,41.68,42.57291096,2.142300756
8/21/2015,43.07,41.81112837,2.922850321
8/20/2015,45.66,42.03335504,7.942717817
8/19/2015,46.61,43.37476376,6.941077546
8/18/2015,47.27,45.16329592,4.45674651
8/17/2015,47.32,45.89910532,3.00273602
8/14/2015,47,45.94462607,2.245476444
8/13/2015,46.73,46.31625935,0.885385516
8/12/2015,46.74,45.25590737,3.175208887
8/11/2015,46.41,45.5991439,1.747158148
8/10/2015,47.33,45.50181069,3.862643791
8/7/2015,46.74,46.41672044,0.691655037
8/6/2015,46.62,46.11272829,1.0880989
8/5/2015,47.58,45.74815899,3.850023146
8/4/2015,47.54,45.54841558,4.18928148
8/3/2015,46.81,45.66813786,2.439355146
7/31/2015,46.7,46.34140978,0.767859146
7/30/2015,46.88,45.87104131,2.152215627
7/29/2015,46.29,46.10193023,0.406285952
7/28/2015,45.34,45.98964816,1.432836705
7/27/2015,45.35,45.79935832,0.990867306
7/24/2015,45.94,45.20481378,1.600318283
7/23/2015,46.11,45.82114686,0.626443581
7/22/2015,45.54,45.45456639,0.187601245
7/21/2015,47.28,45.36782208,4.044369544
7/20/2015,46.92,46.65507237,0.564636899
7/17/2015,46.62,47.61439,2.132968686
7/16/2015,46.66,46.73699893,0.165021287
7/15/2015,45.76,46.31959789,1.222897488
7/14/2015,45.62,46.37051088,1.645135653
7/13/2015,45.54,45.81483638,0.603505455
7/10/2015,44.61,44.94770325,0.757012443
7/9/2015,44.52,44.84094125,0.720892302
7/8/2015,44.24,44.9040581,1.501035478
7/7/2015,44.3,45.43002719,2.550851444
7/6/2015,44.39,45.41847647,2.316910268
7/2/2015,44.4,44.95769131,1.256061499
7/1/2015,44.445,44.92384229,1.077381688
6/30/2015,44.15,44.95838292,1.830991889
6/29/2015,44.37,44.31908997,0.114739751
6/26/2015,45.26,44.48217813,1.718563559
6/25/2015,45.65,44.85818164,1.734541868
6/24/2015,45.635,45.13133626,1.103678618
6/23/2015,45.91,45.67837244,0.50452529
6/22/2015,46.23,44.97598763,2.712551097
6/19/2015,46.1,45.52849082,1.239716215
6/18/2015,46.72,45.55846319,2.486166126
6/17/2015,45.97,45.84575928,0.270264772
6/16/2015,45.83,45.5342844,0.645244602
6/15/2015,45.475,45.19658651,0.612234182
6/12/2015,45.97,44.96134209,2.194165575
